West,1,,"Ostrander, Allie",19:09.0,,Boise State,19,9,,
West,2,,"Hull, Jessica",19:22.5,,Oregon,19,22,,
West,3,,"Ejore, Susan",19:24.6,,Oregon,19,25,,
West,4,,"Cranny, Elise",19:26.2,,Stanford,19,26,,
West,5,,"O'Keeffe, Fiona", 19:27.0,,Stanford,19,27,,
West,6,,"O'Brien, Clare", 19:33.8,,Boise State,19,33,,
West,7,,"Pyzik, Weronika", 19:35.4,,Oregon,19,35,,
West,8,,"LaRocco, Lauren", 19:38.3,,Portland,19,38,,
West,9,,"Rainsberger, Katie", 19:40.6,,Washington,19,40,,
West,10,,"Rawlings, Taryn", 19:48.2,,Portland,19,48,,
West,11,,"Venters, Emily", 19:53.9,,Boise State,19,53,,
West,12,,"Mount, Juliana", 19:54.5,,Oregon State,19,54,,
West,13,,"Cardama Baez, Carmela", 19:55.1,,Oregon,19,55,,
West,14,,"Adler, Erika", 19:56.5,,UCLA,19,56,,
West,15,,"Fuller, Alexis", 20:02.9,,Boise State,20,2,,
West,16,,"Paholek, Maxine", 20:06.5,,Boise State,20,6,,
West,17,,"Zerrenner, Addi", 20:08.3,,Arizona,20,8,,
West,18,,"Daschian, Miranda", 20:10.3,,Cal Poly SLO,20,10,,
West,19,,"Richardson, Aoibhe", 20:10.9,,Portland,20,10,,
West,20,,"Brauer, Isabelle", 20:12.8,,Oregon,20,12,,
West,21,,"Schadler, Allie", 20:13.3,,Washington,20,13,,
West,22,,"Izzo, Katie", 20:14.5,,Cal Poly SLO,20,14,,
West,23,,"Rice, Christina", 20:20.7,,UCLA,20,20,,
West,24,,"Lawson, Jessica", 20:21.5,,Stanford,20,21,,
West,25,,"Baragar-Petrash, Jenny", 20:22.8,,Arizona,20,22,,
West,26,,"Lopez, Kyra", 20:22.9,,Boise State,20,22,,
West,27,,"Huerta, Samantha", 20:23.4,,CS Fullerton,20,23,,
West,28,,"McCulloch, Shona", 20:29.7,,Washington,20,29,,
West,29,,"Gehrich, Amanda", 20:31.9,,Oregon,20,31,,
West,30,,"Sandoval, Jenny", 20:33.6,,San Jose State,20,33,,
West,31,,"Heymach, Julia", 20:33.9,,Stanford,20,33,,
