South Central,1,,Robinson,20:20.3,,Arkansas,20,20,1220,-4,1216
South Central,2,,Werner,20:29.0,,Arkansas,20,29,1229,-4,1225
South Central,3,,Gregory,20:29.0,,Arkansas,20,29,1229,-4,1225
South Central,4,,Viljoen,20:33.9,,Arkansas,20,34,1234,-4,1230
South Central,11,,Brown,21:07.2,,Arkansas,21,7,1267,-4,1263
South Central,13,,Huckabee,21:13.0,,Arkansas,21,13,1273,-4,1269
South Central,14,,Reed,21:13.5,,Arkansas,21,14,1274,-4,1270
West,1,,"Ostrander, Allie",19:09.0,,Boise State,19,9,1149,0,1149
West,6,,"O'Brien, Clare", 19:33.8,,Boise State,19,33,1173,0,1173
West,11,,"Venters, Emily", 19:53.9,,Boise State,19,53,1193,0,1193
West,15,,"Fuller, Alexis", 20:02.9,,Boise State,20,2,1202,0,1202
West,16,,"Paholek, Maxine", 20:06.5,,Boise State,20,6,1206,0,1206
West,26,,"Lopez, Kyra", 20:22.9,,Boise State,20,22,1222,0,1222
West,44,,"Tostenson, Gracie", 20:53.6,,Boise State,20,53,1253,0,1253
Mountain,3, ,"Birk, Erica", 19:34.9,,BYU,19,34,1174,-7,1167
Mountain,9, ,"Wayment, Courtney", 20:01.7,,BYU,20,1,1201,-7,1194
Mountain,20, ,"Camp, Anna", 20:30.6,,BYU,20,30,1230,-7,1223
Mountain,23, ,"Hoj, Olivia", 20:42.5,,BYU,20,42,1242,-7,1235
Mountain,30, ,"Musselman, Sara", 20:55.1,,BYU,20,55,1255,-7,1248
Mountain,39, ,"Frentheway, Aubrey", 21:03.8,,BYU,21,4,1264,-7,1257
Mountain,79, ,"Brooks, Madelyn", 21:46.2,,BYU,21,46,1306,-7,1299
Mountain,6, ,"Jones, Dani", 20:01.3,,Colorado,20,1,1201,-7,1194
Mountain,7, ,"Morley, Makena", 20:01.4,,Colorado,20,1,1201,-7,1194
Mountain,8, ,"Scholl, Tabor", 20:01.5,,Colorado,20,1,1201,-7,1194
Mountain,14, ,"Constien, Val", 20:17.9,,Colorado,20,17,1217,-7,1210
Mountain,18, ,"Tuttle, Tayler", 20:26.0,,Colorado,20,26,1226,-7,1219
Mountain,19, ,"Caldwell, Mackenzie", 20:26.6,,Colorado,20,26,1226,-7,1219
Mountain,40, ,"Koch, Lindsey", 21:05.6,,Colorado,21,6,1266,-7,1259
NorthEast,4,,"Kokes, Libby",21:43.6,05:49.6,Columbia,21,44,1304,-10,1294
NorthEast,7,,"Gregoire, Erin",22:00.4,05:54.1,Columbia,22,0,1320,-10,1310
NorthEast,8,,"Wasserman, Katie",22:08.0,05:56.2,Columbia,22,8,1328,-10,1318
NorthEast,9,,"Kogan, Maria",22:09.0,05:56.4,Columbia,22,9,1329,-10,1319
NorthEast,13,,"Hays, Alexandra",22:14.1,05:57.8,Columbia,22,14,1334,-10,1324
NorthEast,40,,"McLaughlin, Abigail",22:42.6,06:05.5,Columbia,22,43,1363,-10,1353
NorthEast,47,,"Tripodi, Serena",22:50.4,06:07.5,Columbia,22,50,1370,-10,1360
NorthEast,10,,"Murphy, Glendora",22:09.1,05:56.5,Dartmouth,22,9,1329,-10,1319
NorthEast,11,,"Sapone, Lauren",22:10.7,05:56.9,Dartmouth,22,11,1331,-10,1321
NorthEast,14,,"Fear, Georgia",22:14.4,05:57.9,Dartmouth,22,14,1334,-10,1324
NorthEast,16,,"Stevenson, Julia",22:16.8,05:58.5,Dartmouth,22,17,1337,-10,1327
NorthEast,37,,"Anderson, Lillian",22:40.5,06:04.9,Dartmouth,22,41,1361,-10,1351
NorthEast,38,,"Lantz, Olivia",22:40.6,06:04.9,Dartmouth,22,41,1361,-10,1351
NorthEast,42,,"Ketchum, Ella",22:45.6,06:06.3,Dartmouth,22,46,1366,-10,1356
South Region,2,,Pascoe,20:23.6,,Florida,20,24,1224,-5,1219
South Region,6,,Bergh,20:40.5,,Florida,20,41,1241,-5,1236
South Region,9,,Hull,20:51.7,,Florida,20,52,1252,-5,1247
South Region,21,,Barrett,21:10.9,,Florida,21,11,1271,-5,1266
South Region,28,,McQuilkin-Bell,21:16.4,,Florida,21,16,1276,-5,1271
South Region,77,,Blair,22:23.6,,Florida,22,24,1344,-5,1339
South Region,91,,Wilkinson,22:39.9,,Florida,22,40,1360,-5,1355
South Region,1,,Mircheva,20:16.9,,Florida State,20,17,1217,-5,1212
South Region,8,,Funderburk,20:43.4,,Florida State,20,43,1243,-5,1238
South Region,11,,Skyring,20:58.2,,Florida State,20,58,1258,-5,1253
South Region,18,,Mooney,21:06.7,,Florida State,21,7,1267,-5,1262
South Region,24,,Judd,21:12.4,,Florida State,21,12,1272,-5,1267
South Region,49,,Hewitt,21:41.2,,Florida State,21,41,1301,-5,1296
South Region,59,,Lima,21:52.2,,Florida State,21,52,1312,-5,1307
SouthEast,3,,Carnahan,19:54.5,,Furman,19,54,1194,0,1194
SouthEast,11,,Hurley,20:17.8,,Furman,20,18,1218,0,1218
SouthEast,16,,Jennings,20:24.9,,Furman,20,25,1225,0,1225
SouthEast,28,,Burr,20:50.4,,Furman,20,50,1250,0,1250
SouthEast,37,,Gear,21:01.1,,Furman,21,1,1261,0,1261
SouthEast,44,,Kuntz,21:07.1,,Furman,21,7,1267,0,1267
SouthEast,50,,Caldwell,21:11.0,,Furman,21,11,1271,0,1271
South Region,15,,Ruiz,21:03.4,,Georgia Tech,21,3,1263,-5,1258
South Region,22,,Herndon,21:12.2,,Georgia Tech,21,12,1272,-5,1267
South Region,30,,Fegans,21:17.3,,Georgia Tech,21,17,1277,-5,1272
South Region,40,,Galarza,21:34.2,,Georgia Tech,21,34,1294,-5,1289
South Region,43,,Gollnick,21:35.6,,Georgia Tech,21,36,1296,-5,1291
